Sex;AgeStart;PopulationOct2022;PopulationOct2023;PopulationOct2024;Scenario1;Scenario2;Scenario3;expos0;expos1;expos2;expos3
Both;0;68947.5;69879;70816.5;710;860.31475658048;1067.04664570231;69413.25;69992.75;69917.5926217098;69814.2266771489
Both;1;264461.5;268361.25;272140;2389;2894.7773992546;3590.38653039832;266411.375;269056.125;268803.236300373;268455.431734801
Both;5;279529.75;286434.25;294791.25;2946;3569.70038434661;4427.49213836478;282982;289139.75;288827.899807827;288399.003930818
Both;10;273239.5;278008;280709.25;3188;3862.93442813883;4791.18972746331;275623.75;277764.625;277427.157785931;276963.030136268
Both;15;228839;238317;247736.25;3420;4144.05136268344;5139.85849056604;233578;241316.625;240954.599318658;240456.695754717
Both;20;189180.5;193442.5;199978.25;3410;4131.93425343583;5124.82966457023;191311.5;195005.375;194644.407873282;194147.960167715
Both;25;192187.25;191291.5;188932.75;3522;4267.64587700909;5293.15251572327;191739.375;188351.125;187978.302061495;187465.548742138
Both;30;168042.25;175159.75;181294;3685;4465.15475774517;5538.12237945493;171601;176384.375;175994.297621127;175457.813810273
Both;35;122568.25;130767;139909.5;2638;3196.49341952015;3964.60429769392;126667.625;134019.25;133740.00329024;133355.947851153
Both;40;96489.5;100019.75;103903.25;1846;2236.81836710925;2774.321278826;98254.625;101038.5;100843.090816445;100574.339360587
Both;45;80173;83232.75;86002.5;1414;1713.35924761239;2125.07599580713;81702.875;83910.625;83760.9453761938;83555.0870020964
Both;50;60288.75;63002;66613.25;1191;1443.14771139064;1789.93317610063;61645.375;64212.125;64086.0511443047;63912.6584119497
Both;55;55171.75;55913.5;55939.25;1030;1248.06225250408;1547.96907756813;55542.625;55411.375;55302.343873748;55152.3904612159
Both;60;38351.25;41275.25;44502;956;1158.39564407175;1436.75576519916;39813.25;42410.625;42309.4271779641;42170.2471174004
Both;65;26541.75;27698;29006;756;916.053459119497;1136.17924528302;27119.875;27974;27893.9732704403;27783.9103773585
Both;70;18894.5;19622;20246.25;542;656.747321220592;814.562368972746;19258.25;19663.125;19605.7513393897;19526.8438155136
Both;75;10019;10875.75;11812.5;341;413.193425343583;512.482966457023;10447.375;11173.625;11137.5282873282;11087.8835167715
Both;80;8412.75;8498.25;8661;360;436.215932914046;541.037735849057;8455.5;8399.625;8361.51703354298;8309.10613207547
Females;0;33828;34284.5;34743.5;351;425.310534591195;527.51179245283;34056.25;34338.5;34301.3447327044;34250.2441037736
Females;1;129846;131757.5;133610;1120;1357.11623573259;1683.2285115304;130801.75;132123.75;132005.191882134;131842.135744235
Females;5;136627.5;140194.75;144466.75;1389;1683.06647449336;2087.50393081761;138411.125;141636.25;141489.216762753;141286.998034591
Females;10;133564;135943.5;137312;1347;1632.17461565339;2024.38286163522;134753.75;135954.25;135811.662692173;135615.558569182
Females;15;111882.25;116556.25;121196;1166;1412.85493827161;1752.36111111111;114219.25;118293.125;118169.697530864;117999.944444444
Females;20;92541.5;94598.5;97818;1142;1383.77387607734;1716.29192872117;93570;95637.25;95516.3630619613;95350.1040356394
Females;25;94911.25;94342;93014.5;1041;1261.39107267645;1564.50078616352;94626.625;93157.75;93047.5544636618;92895.9996069182
Females;30;83309.25;86777;89789;1061;1285.62529117168;1594.55843815514;85043.125;87752.5;87640.1873544142;87485.7207809224
Females;35;61486.5;65439.25;69829.5;746;903.936349871885;1121.15041928721;63462.875;67261.375;67182.4068250641;67073.7997903564
Females;40;48634.5;50450.5;52409.25;545;660.382453994875;819.071016771489;49542.5;51157.375;51099.6837730026;51020.3394916143
Females;45;39955.5;41598.75;43122;506;613.125727929187;760.458595387841;40777.125;42107.375;42053.8121360354;41980.1457023061
Females;50;29881.5;31320.75;33166.75;428;518.61227579781;643.233752620545;30601.125;32029.75;31984.4438621011;31922.1331236897
Females;55;26700.75;27190.25;27383;391;473.778971581645;587.627096436059;26945.5;27091.125;27049.7355142092;26992.811451782
Females;60;18907.75;20256.5;21763;346;419.251979967389;519.997379454927;19582.125;20836.75;20800.1240100163;20749.7513102725
Females;65;13668;14202.5;14789.75;276;334.432215234102;414.795597484277;13935.25;14358.125;14328.9088923829;14288.7272012579
Females;70;9860;10274.25;10639.25;186;225.378232005591;279.536163522013;10067.125;10363.75;10344.0608839972;10316.981918239
Females;75;5397;5827.5;6307.5;129;156.3107092942;193.871855345912;5612.25;6003;5989.3446453529;5970.56407232704
Females;80;5190.25;5174;5202.75;200;242.342184952248;300.576519916143;5182.125;5088.375;5067.20390752388;5038.08674004193
Males;0;35119.5;35594.5;36073;359;435.004221989285;539.534853249476;35357;35654.25;35616.2478890054;35563.9825733753
Males;1;134615.5;136603.75;138530;1269;1537.66116352201;1907.15801886792;135609.625;136932.375;136798.044418239;136613.295990566
Males;5;142902.25;146239.5;150324.5;1557;1886.63390985325;2339.98820754717;144570.875;147503.5;147338.683045073;147112.005896226
