DataLabel;TimeRef;TimeRef1;TimeRef2;AgeStart;Sex;expos
prewar;2023-04-01;2022-10-01;2023-10-01;0;Both;69413.25
prewar;2023-04-01;2022-10-01;2023-10-01;1;Both;266411.375
prewar;2023-04-01;2022-10-01;2023-10-01;5;Both;282982
prewar;2023-04-01;2022-10-01;2023-10-01;10;Both;275623.75
prewar;2023-04-01;2022-10-01;2023-10-01;15;Both;233578
prewar;2023-04-01;2022-10-01;2023-10-01;20;Both;191311.5
prewar;2023-04-01;2022-10-01;2023-10-01;25;Both;191739.375
prewar;2023-04-01;2022-10-01;2023-10-01;30;Both;171601
prewar;2023-04-01;2022-10-01;2023-10-01;35;Both;126667.625
prewar;2023-04-01;2022-10-01;2023-10-01;40;Both;98254.625
prewar;2023-04-01;2022-10-01;2023-10-01;45;Both;81702.875
prewar;2023-04-01;2022-10-01;2023-10-01;50;Both;61645.375
prewar;2023-04-01;2022-10-01;2023-10-01;55;Both;55542.625
prewar;2023-04-01;2022-10-01;2023-10-01;60;Both;39813.25
prewar;2023-04-01;2022-10-01;2023-10-01;65;Both;27119.875
prewar;2023-04-01;2022-10-01;2023-10-01;70;Both;19258.25
prewar;2023-04-01;2022-10-01;2023-10-01;75;Both;10447.375
prewar;2023-04-01;2022-10-01;2023-10-01;80;Both;8455.5
prewar;2023-04-01;2022-10-01;2023-10-01;0;Females;34056.25
prewar;2023-04-01;2022-10-01;2023-10-01;1;Females;130801.75
prewar;2023-04-01;2022-10-01;2023-10-01;5;Females;138411.125
prewar;2023-04-01;2022-10-01;2023-10-01;10;Females;134753.75
prewar;2023-04-01;2022-10-01;2023-10-01;15;Females;114219.25
prewar;2023-04-01;2022-10-01;2023-10-01;20;Females;93570
prewar;2023-04-01;2022-10-01;2023-10-01;25;Females;94626.625
prewar;2023-04-01;2022-10-01;2023-10-01;30;Females;85043.125
prewar;2023-04-01;2022-10-01;2023-10-01;35;Females;63462.875
prewar;2023-04-01;2022-10-01;2023-10-01;40;Females;49542.5
prewar;2023-04-01;2022-10-01;2023-10-01;45;Females;40777.125
prewar;2023-04-01;2022-10-01;2023-10-01;50;Females;30601.125
prewar;2023-04-01;2022-10-01;2023-10-01;55;Females;26945.5
prewar;2023-04-01;2022-10-01;2023-10-01;60;Females;19582.125
prewar;2023-04-01;2022-10-01;2023-10-01;65;Females;13935.25
prewar;2023-04-01;2022-10-01;2023-10-01;70;Females;10067.125
prewar;2023-04-01;2022-10-01;2023-10-01;75;Females;5612.25
prewar;2023-04-01;2022-10-01;2023-10-01;80;Females;5182.125
prewar;2023-04-01;2022-10-01;2023-10-01;0;Males;35357
prewar;2023-04-01;2022-10-01;2023-10-01;1;Males;135609.625
prewar;2023-04-01;2022-10-01;2023-10-01;5;Males;144570.875
