lt_label,ref_period,sex,x,n,nMx,nqx,npx,lx,ndx,nLx,Tx,ex
Lee-Carter Projected,2023.25,Both,0,1,0.0123206094765176,0.0121829341448072,0.987817065855193,1e+05,1218.29341448072,98882.5607047057,7548806.44284995,75.4880644284995
Lee-Carter Projected,2023.25,Both,1,4,0.000498481467274553,0.00199150341657273,0.998008496583427,98781.7065855193,196.724106159946,394646.780422019,7449923.88214524,75.4180519820797
Lee-Carter Projected,2023.25,Both,5,5,0.000269428534413932,0.0013462358861652,0.998653764113835,98584.9824793593,132.718641250681,492593.11579367,7055277.10172322,71.5654344534715
Lee-Carter Projected,2023.25,Both,10,5,0.000324490253322614,0.00162113615940548,0.998378863840595,98452.2638381086,159.604524883287,491862.307878335,6562683.98592955,66.6585381593763
Lee-Carter Projected,2023.25,Both,15,5,0.00034736202508916,0.00173530317937947,0.998264696820621,98292.6593132254,170.567564215903,491036.877655587,6070821.67805122,61.7627167732391
Lee-Carter Projected,2023.25,Both,20,5,0.000416434726332042,0.00208000816258533,0.997919991837415,98122.0917490094,204.094751767886,490100.221865628,5579784.80039563,56.8657343207521
Lee-Carter Projected,2023.25,Both,25,5,0.000549255191324974,0.0027425101118344,0.997257489888166,97917.9969972416,268.541096895506,488918.632243969,5089684.57853,51.9790511919212
Lee-Carter Projected,2023.25,Both,30,5,0.000598819585954776,0.00298962231877615,0.997010377681224,97649.4559003461,291.934992776022,487517.44201979,4600765.94628603,47.1151211634117
Lee-Carter Projected,2023.25,Both,35,5,0.000894385330327871,0.00446194989531179,0.995538050104688,97357.5209075701,434.404380221348,485701.593587297,4113248.50426624,42.2489034840083
Lee-Carter Projected,2023.25,Both,40,5,0.0014351483767907,0.00715008828994545,0.992849911710054,96923.1165273487,693.008840507214,482883.060535476,3627546.91067895,37.4270560073805
Lee-Carter Projected,2023.25,Both,45,5,0.00213285319877124,0.0106077043037167,0.989392295696283,96230.1076868415,1020.78052745683,478598.587115565,3144663.85014347,32.678586003219
Lee-Carter Projected,2023.25,Both,50,5,0.00495910034868323,0.0244918577921241,0.975508142207876,95209.3271593846,2331.85330127146,470217.002543745,2666065.2630279,28.0021437244777
Lee-Carter Projected,2023.25,Both,55,5,0.00769113330788252,0.0377301966097668,0.962269803390233,92877.4738581132,3504.28534928508,455626.655917353,2195848.26048416,23.642420161413
Lee-Carter Projected,2023.25,Both,60,5,0.0136900728902862,0.0661851651147401,0.93381483488526,89373.1885088281,5915.17923828758,432077.994448422,1740221.60456681,19.4714056150622
Lee-Carter Projected,2023.25,Both,65,5,0.0215380943889538,0.102188128074994,0.897811871925006,83458.0092705405,8528.41774022207,395969.002002148,1308143.61011839,15.674272865506
Lee-Carter Projected,2023.25,Both,70,5,0.0349490481993396,0.160704102441545,0.839295897558455,74929.5915303185,12041.4927531914,344544.225768614,912174.608116237,12.1737565824998
Lee-Carter Projected,2023.25,Both,75,5,0.0648848159979277,0.27914362338828,0.72085637661172,62888.098777127,17554.8117606473,270553.464484017,567630.382347624,9.02603820731302
Lee-Carter Projected,2023.25,Both,80,Inf,0.152597809828137,1,0,45333.2870164797,45333.2870164797,297076.917863607,297076.917863607,6.55317400116193
Lee-Carter Projected,2023.25,Females,0,1,0.0112460647234159,0.0111314564040353,0.988868543595965,1e+05,1113.14564040353,98980.9029007098,7747742.0872547,77.477420872547
Lee-Carter Projected,2023.25,Females,1,4,0.000440465451129198,0.00175992765668405,0.998240072343316,98886.8543595965,174.033709869942,395113.190884282,7648761.18435399,77.3486145745895
Lee-Carter Projected,2023.25,Females,5,5,0.00017805551673602,0.000889881462920815,0.999110118537079,98712.8206497265,87.8427092488187,493344.496475511,7253647.99346971,73.4823293035929
Lee-Carter Projected,2023.25,Females,10,5,0.00027930437495807,0.0013955474185417,0.998604452581458,98624.9779404777,137.635833368566,492780.800118967,6760303.4969942,68.545551422827
Lee-Carter Projected,2023.25,Females,15,5,0.000187709341694163,0.000938106480096269,0.999061893519904,98487.3421071092,92.3916138381372,492205.73150095,6267522.69687523,63.6378499285627
Lee-Carter Projected,2023.25,Females,20,5,0.000222936706199609,0.00111406261737201,0.998885937382628,98394.950493271,109.618136082722,491700.707126148,5775316.96537428,58.695257596265
Lee-Carter Projected,2023.25,Females,25,5,0.000419261516578739,0.00209411263080001,0.9979058873692,98285.3323571883,205.820555911565,490912.110396163,5283616.25824813,53.7579324557446
Lee-Carter Projected,2023.25,Females,30,5,0.000531554880174267,0.00265424720573284,0.997345752794267,98079.5118012767,260.32727013818,489746.740831038,4792704.14785197,48.8654975930415
Lee-Carter Projected,2023.25,Females,35,5,0.000616694525249523,0.00307872604250972,0.99692127395749,97819.1845311385,301.15847087308,488343.02647851,4302957.40702093,43.9888906010168
Lee-Carter Projected,2023.25,Females,40,5,0.00105053890460677,0.00523893525976112,0.994761064740239,97518.0260602655,510.890625189429,486312.903738354,3814614.38054242,39.1170179981393
